Day,Time,Assignment,Requirement,Scheduled
16/11/2018,09:00:00 AM,Downtown Lobby,7.4,3
16/11/2018,09:15:00 AM,Downtown Lobby,3.7,3
16/11/2018,09:30:00 AM,Downtown Lobby,4,3
16/11/2018,09:45:00 AM,Downtown Lobby,3.7,3
16/11/2018,10:00:00 AM,Downtown Lobby,3.9,3
16/11/2018,10:15:00 AM,Downtown Lobby,4.7,3
16/11/2018,10:30:00 AM,Downtown Lobby,3.6,3
16/11/2018,10:45:00 AM,Downtown Lobby,4.2,3
16/11/2018,11:00:00 AM,Downtown Lobby,5,2
16/11/2018,11:15:00 AM,Downtown Lobby,5,2
16/11/2018,11:30:00 AM,Downtown Lobby,6,2
16/11/2018,11:45:00 AM,Downtown Lobby,4,2
16/11/2018,12:00:00 PM,Downtown Lobby,7,3
16/11/2018,12:15:00 PM,Downtown Lobby,7.2,3
16/11/2018,12:30:00 PM,Downtown Lobby,4.1,2
16/11/2018,12:45:00 PM,Downtown Lobby,5.3,2
16/11/2018,01:00:00 PM,Downtown Lobby,7,2
16/11/2018,01:15:00 PM,Downtown Lobby,4.8,2
16/11/2018,01:30:00 PM,Downtown Lobby,6.4,3
16/11/2018,01:45:00 PM,Downtown Lobby,6.5,3
16/11/2018,02:00:00 PM,Downtown Lobby,6.4,2
16/11/2018,02:15:00 PM,Downtown Lobby,5.8,2
16/11/2018,02:30:00 PM,Downtown Lobby,5.1,2
16/11/2018,02:45:00 PM,Downtown Lobby,4,2
16/11/2018,03:00:00 PM,Downtown Lobby,5.9,3
16/11/2018,03:15:00 PM,Downtown Lobby,5.1,3
16/11/2018,03:30:00 PM,Downtown Lobby,5.4,3
16/11/2018,03:45:00 PM,Downtown Lobby,6,3
16/11/2018,04:00:00 PM,Downtown Lobby,7.2,3
16/11/2018,04:15:00 PM,Downtown Lobby,6.7,3
16/11/2018,04:30:00 PM,Downtown Lobby,6.1,3
16/11/2018,04:45:00 PM,Downtown Lobby,6,3
16/11/2018,09:00:00 AM,Downtown Platform,2.3,2
16/11/2018,09:15:00 AM,Downtown Platform,2.1,2
16/11/2018,09:30:00 AM,Downtown Platform,2.3,2
16/11/2018,09:45:00 AM,Downtown Platform,2.1,2
16/11/2018,10:00:00 AM,Downtown Platform,2.1,2
16/11/2018,10:15:00 AM,Downtown Platform,2.1,2
16/11/2018,10:30:00 AM,Downtown Platform,2.1,3
16/11/2018,10:45:00 AM,Downtown Platform,2.1,3
16/11/2018,11:00:00 AM,Downtown Platform,2.6,3
16/11/2018,11:15:00 AM,Downtown Platform,2.1,3
16/11/2018,11:30:00 AM,Downtown Platform,2.1,3
16/11/2018,11:45:00 AM,Downtown Platform,2.1,3
16/11/2018,12:00:00 PM,Downtown Platform,2.8,3
16/11/2018,12:15:00 PM,Downtown Platform,2.9,4
16/11/2018,12:30:00 PM,Downtown Platform,2.7,4
16/11/2018,12:45:00 PM,Downtown Platform,3.1,4
16/11/2018,01:00:00 PM,Downtown Platform,2.3,4
16/11/2018,01:15:00 PM,Downtown Platform,3.3,4
16/11/2018,01:30:00 PM,Downtown Platform,2.8,3
16/11/2018,01:45:00 PM,Downtown Platform,3.1,3
16/11/2018,02:00:00 PM,Downtown Platform,3.2,3
16/11/2018,02:15:00 PM,Downtown Platform,3.2,3
16/11/2018,02:30:00 PM,Downtown Platform,4.6,4
16/11/2018,02:45:00 PM,Downtown Platform,4.5,4
16/11/2018,03:00:00 PM,Downtown Platform,3.6,3
16/11/2018,03:15:00 PM,Downtown Platform,3.5,3
16/11/2018,03:30:00 PM,Downtown Platform,3.4,3
16/11/2018,03:45:00 PM,Downtown Platform,3.5,3
16/11/2018,04:00:00 PM,Downtown Platform,5,3
16/11/2018,04:15:00 PM,Downtown Platform,3.5,3
16/11/2018,04:30:00 PM,Downtown Platform,3.5,3
16/11/2018,04:45:00 PM,Downtown Platform,2.8,3
16/11/2018,08:30:00 AM,Teller Opener Platform,1,1
16/11/2018,08:45:00 AM,Teller Opener Platform,1,1
16/11/2018,08:30:00 AM,MSR Opener Platform,1,1
16/11/2018,08:45:00 AM,MSR Opener Platform,1,1
16/11/2018,05:00:00 PM,Teller Closer Platform,1,1
16/11/2018,05:15:00 PM,Teller Closer Platform,1,1
16/11/2018,05:00:00 PM,MSR Closer Platform,1,1
16/11/2018,05:15:00 PM,MSR Closer Platform,1,1
16/11/2018,08:30:00 AM,Teller Opener Lobby,1,1
16/11/2018,08:45:00 AM,Teller Opener Lobby,1,1
16/11/2018,08:30:00 AM,MSR Opener Lobby,1,1
16/11/2018,08:45:00 AM,MSR Opener Lobby,1,1
16/11/2018,05:00:00 PM,Teller Closer Lobby,1,1
16/11/2018,05:15:00 PM,Teller Closer Lobby,1,1
16/11/2018,05:00:00 PM,MSR Closer Lobby,1,1
16/11/2018,05:15:00 PM,MSR Closer Lobby,1,1
16/11/2018,09:00:00 AM,BM Admin Time,1,0
16/11/2018,09:15:00 AM,BM Admin Time,1,1
16/11/2018,09:30:00 AM,BM Admin Time,1,1
16/11/2018,09:45:00 AM,BM Admin Time,1,1
16/11/2018,10:00:00 AM,BM Admin Time,1,1
16/11/2018,10:15:00 AM,BM Admin Time,1,1
16/11/2018,10:30:00 AM,BM Admin Time,1,0
16/11/2018,10:45:00 AM,BM Admin Time,1,0
16/11/2018,11:00:00 AM,BM Admin Time,1,0
16/11/2018,11:15:00 AM,BM Admin Time,1,0
16/11/2018,11:30:00 AM,BM Admin Time,1,0
16/11/2018,11:45:00 AM,BM Admin Time,1,0
16/11/2018,12:00:00 PM,BM Admin Time,1,0
16/11/2018,12:15:00 PM,BM Admin Time,1,0
16/11/2018,12:30:00 PM,BM Admin Time,1,0
16/11/2018,12:45:00 PM,BM Admin Time,1,0
16/11/2018,01:00:00 PM,BM Admin Time,1,0
16/11/2018,01:15:00 PM,BM Admin Time,1,0
16/11/2018,01:30:00 PM,BM Admin Time,1,0
16/11/2018,01:45:00 PM,BM Admin Time,1,0
16/11/2018,02:00:00 PM,BM Admin Time,1,0
16/11/2018,02:15:00 PM,BM Admin Time,1,0
16/11/2018,02:30:00 PM,BM Admin Time,1,0
16/11/2018,02:45:00 PM,BM Admin Time,1,0
16/11/2018,03:00:00 PM,BM Admin Time,1,0
16/11/2018,03:15:00 PM,BM Admin Time,1,0
16/11/2018,03:30:00 PM,BM Admin Time,1,0
16/11/2018,03:45:00 PM,BM Admin Time,1,0
16/11/2018,09:00:00 AM,ABM Admin Time,1,0
16/11/2018,09:15:00 AM,ABM Admin Time,1,0
16/11/2018,09:30:00 AM,ABM Admin Time,1,0
16/11/2018,09:45:00 AM,ABM Admin Time,1,0
16/11/2018,10:00:00 AM,ABM Admin Time,1,0
16/11/2018,10:15:00 AM,ABM Admin Time,1,0
16/11/2018,10:30:00 AM,ABM Admin Time,1,0
16/11/2018,10:45:00 AM,ABM Admin Time,1,0
16/11/2018,11:00:00 AM,ABM Admin Time,1,0
16/11/2018,11:15:00 AM,ABM Admin Time,1,0
16/11/2018,11:30:00 AM,ABM Admin Time,1,0
16/11/2018,11:45:00 AM,ABM Admin Time,1,0
16/11/2018,12:00:00 PM,ABM Admin Time,1,0
16/11/2018,12:15:00 PM,ABM Admin Time,1,0
16/11/2018,12:30:00 PM,ABM Admin Time,1,0
16/11/2018,12:45:00 PM,ABM Admin Time,1,0
16/11/2018,01:00:00 PM,ABM Admin Time,1,0
16/11/2018,01:15:00 PM,ABM Admin Time,1,0
