Day,Employee,Task
15/11/2018,Employee501603,Downtown Platform
15/11/2018,Employee501603,MSR Opener Platform
15/11/2018,Employee501603,MSR Closer Platform
15/11/2018,Employee501715,Downtown Lobby
15/11/2018,Employee501715,MSR Opener Lobby
15/11/2018,Employee501715,MSR Closer Lobby
15/11/2018,Employee501716,Downtown Lobby
15/11/2018,Employee501716,Teller Closer Lobby
15/11/2018,Employee501721,Downtown Platform
15/11/2018,Employee501721,MSR Opener Platform
15/11/2018,Employee501721,MSR Closer Platform
15/11/2018,Employee501721,BM Admin Time
15/11/2018,Employee501768,Downtown Lobby
15/11/2018,Employee501768,Teller Closer Lobby
15/11/2018,Employee501792,Downtown Platform
15/11/2018,Employee501792,MSR Opener Platform
15/11/2018,Employee501792,MSR Closer Platform
15/11/2018,Employee501587,Downtown Platform
15/11/2018,Employee501587,Downtown Lobby
15/11/2018,Employee501595,Downtown Platform
15/11/2018,Employee501595,MSR Opener Platform
15/11/2018,Employee501595,MSR Closer Platform
15/11/2018,Employee501595,Admin Ordering
15/11/2018,Employee501721,Admin StayAtHome
