,Employee,Day,TSlot,Assignment
0,Employee501603,15/11/2018,09:00:00,Downtown Platform
1,Employee501603,15/11/2018,09:15:00,Downtown Platform
2,Employee501603,15/11/2018,09:30:00,Downtown Platform
3,Employee501603,15/11/2018,09:45:00,Downtown Platform
4,Employee501603,15/11/2018,10:00:00,Downtown Platform
5,Employee501603,15/11/2018,10:15:00,Downtown Platform
6,Employee501603,15/11/2018,10:30:00,Downtown Platform
7,Employee501603,15/11/2018,10:45:00,Downtown Platform
8,Employee501603,15/11/2018,11:00:00,Downtown Platform
9,Employee501603,15/11/2018,11:15:00,Downtown Platform
10,Employee501603,15/11/2018,11:30:00,Downtown Platform
11,Employee501603,15/11/2018,11:45:00,Downtown Platform
12,Employee501603,15/11/2018,12:00:00,Downtown Platform
13,Employee501603,15/11/2018,12:15:00,Downtown Platform
14,Employee501603,15/11/2018,12:30:00,Downtown Platform
15,Employee501603,15/11/2018,12:45:00,Downtown Platform
16,Employee501603,15/11/2018,13:00:00,Downtown Platform
17,Employee501603,15/11/2018,13:15:00,Downtown Platform
18,Employee501603,15/11/2018,13:30:00,Downtown Platform
19,Employee501603,15/11/2018,13:45:00,Downtown Platform
20,Employee501603,15/11/2018,14:00:00,Downtown Platform
21,Employee501603,15/11/2018,14:15:00,Downtown Platform
22,Employee501603,15/11/2018,14:30:00,Downtown Platform
23,Employee501603,15/11/2018,14:45:00,Downtown Platform
24,Employee501603,15/11/2018,15:00:00,Downtown Platform
25,Employee501603,15/11/2018,15:15:00,Downtown Platform
26,Employee501603,15/11/2018,15:30:00,Downtown Platform
27,Employee501603,15/11/2018,15:45:00,Downtown Platform
28,Employee501603,15/11/2018,16:00:00,Downtown Platform
29,Employee501603,15/11/2018,16:15:00,Downtown Platform
30,Employee501603,15/11/2018,16:30:00,Downtown Platform
31,Employee501603,15/11/2018,16:45:00,Downtown Platform
32,Employee501603,16/11/2018,09:00:00,Downtown Platform
33,Employee501603,16/11/2018,09:15:00,Downtown Platform
34,Employee501603,16/11/2018,09:30:00,Downtown Platform
35,Employee501603,16/11/2018,09:45:00,Downtown Platform
36,Employee501603,16/11/2018,10:00:00,Downtown Platform
37,Employee501603,16/11/2018,10:15:00,Downtown Platform
38,Employee501603,16/11/2018,10:30:00,Downtown Platform
39,Employee501603,16/11/2018,10:45:00,Downtown Platform
40,Employee501603,16/11/2018,11:00:00,Downtown Platform
41,Employee501603,16/11/2018,11:15:00,Downtown Platform
42,Employee501603,16/11/2018,11:30:00,Downtown Platform
43,Employee501603,16/11/2018,11:45:00,Downtown Platform
44,Employee501603,16/11/2018,12:00:00,Downtown Platform
45,Employee501603,16/11/2018,12:15:00,Downtown Platform
46,Employee501603,16/11/2018,12:30:00,Downtown Platform
47,Employee501603,16/11/2018,12:45:00,Downtown Platform
48,Employee501603,16/11/2018,13:00:00,Downtown Platform
49,Employee501603,16/11/2018,13:15:00,Downtown Platform
50,Employee501603,16/11/2018,13:30:00,Downtown Platform
